,industry,countryCode,organizationTypeCode,organizationSizeCode,ageRange,gender,scoring
153,Leisure & Travel,PT,P,E,41-50,Male,Loss
154,Gambling & Casinos,GB,C,H,18-30,Male,Win
155,Marketing & Advertising,US,P,C,18-30,Female,Win
158,Computer Software,IS,P,C,41-50,Male,Win
160,Gambling & Casinos,SE,C,E,31-40,Female,Loss
161,Management Consulting,US,P,B,31-40,Male,Win
165,Marketing & Advertising,US,P,A,31-40,Male,Win
166,Information Technology & Services,US,P,H,18-30,Female,Win
167,Human Resources,GB,P,A,18-30,Female,Win
171,Information Technology & Services,US,C,G,41-50,Male,Win
172,Computer Software,PT,P,C,18-30,Male,Win
174,Retail,US,C,H,18-30,Male,Win
175,Real Estate,IT,P,A,31-40,Male,Win
176,Broadcast Media,US,P,C,18-30,Female,Win
180,Financial Services,FR,C,G,18-30,Male,Loss
182,Automotive,US,C,H,31-40,Female,Win
183,Information Technology & Services,TR,P,F,18-30,Female,Loss
184,Computer Software,US,P,A,31-40,Male,Win
186,Information Technology & Services,US,P,D,31-40,Male,Win
188,Internet,PT,P,B,31-40,Male,Win
192,Hospitality,US,C,H,18-30,Female,Win
193,Information Technology & Services,CA,P,A,31-40,Male,Win
194,Internet,US,C,H,51-60,Male,Win
196,International Trade & Development,US,N,F,41-50,Female,Loss
197,Public Relations,US,P,B,31-40,Male,Win
200,Internet,DK,P,B,31-40,Male,Win
202,Wine & Spirits,US,P,H,31-40,Male,Loss
204,Internet,GB,P,B,31-40,Male,Win
205,Hospitality,ES,O,A,18-30,Female,Loss
206,Computer Software,GB,P,C,18-30,Female,Win
208,Computer Software,US,P,B,18-30,Female,Win
209,Design,IN,P,A,41-50,Male,Win
210,Law Practice,US,S,F,31-40,Female,Loss
211,Government Administration,ES,N,D,18-30,Female,Loss
214,Computer Software,US,P,A,31-40,Male,Win
215,Internet,GB,P,F,31-40,Male,Win
216,Electrical & Electronic Manufacturing,US,P,C,18-30,Female,Win
217,Wholesale,US,C,G,31-40,Male,Loss
221,Marketing & Advertising,GB,P,B,18-30,Male,Win
223,Law Practice,US,S,F,18-30,Female,Loss
225,Renewables & Environment,US,P,A,18-30,Male,Win
226,Food & Beverages,US,P,A,18-30,Male,Win
228,Computer Networking,US,C,A,18-30,Male,Win
230,Electrical & Electronic Manufacturing,NL,C,C,31-40,Male,Win
231,Biotechnology,PT,N,A,18-30,Male,Loss
232,Computer Software,DE,C,H,31-40,Male,Win
233,Internet,US,C,G,18-30,Male,Win
234,Internet,IL,P,A,31-40,Female,Loss
236,Sports,GB,P,D,41-50,Male,Loss
237,Information Technology & Services,US,P,D,18-30,Female,Win
238,Staffing & Recruiting,SE,C,B,18-30,Female,Win
241,Internet,US,P,F,18-30,Male,Win
242,Financial Services,BR,P,E,31-40,Male,Loss
243,Computer Networking,US,P,B,31-40,Female,Win
244,Venture Capital,CH,P,B,18-30,Female,Win
245,Industrial Automation,AT,P,F,41-50,Male,Loss
247,Computer Software,US,C,H,18-30,Male,Win
248,Law Practice,US,P,C,18-30,Female,Win
249,Accounting,US,S,C,31-40,Male,Win
251,Computer Software,US,P,E,31-40,Male,Win
252,Computer & Network Security,US,P,F,41-50,Male,Win
253,Information Technology & Services,DE,S,B,18-30,Male,Win
254,Accounting,BR,P,B,41-50,Male,Win
256,Information Technology & Services,US,C,D,41-50,Male,Win
257,Higher Education,FR,D,F,41-50,Male,Loss
258,Information Technology & Services,PT,P,E,18-30,Female,Win
259,Computer Software,NL,P,B,18-30,Male,Win
262,Management Consulting,BR,P,A,18-30,Male,Win
263,Computer Software,US,P,D,31-40,Male,Win
265,Information Technology & Services,PT,P,E,31-40,Male,Win
266,Public Relations,US,P,C,41-50,Male,Win
267,Information Technology & Services,AU,P,A,41-50,Male,Win
269,Leisure & Travel,US,C,D,18-30,Female,Loss
270,Marketing & Advertising,US,C,D,31-40,Male,Win
272,Information Technology & Services,US,P,C,41-50,Male,Win
275,Computer Software,US,P,E,18-30,Male,Win
276,Financial Services,US,C,F,31-40,Male,Win
278,Staffing & Recruiting,ES,P,B,31-40,Male,Win
279,Staffing & Recruiting,US,P,A,41-50,Male,Win
281,Business Supplies & Equipment,US,C,C,31-40,Male,Win
284,Internet,US,P,G,31-40,Male,Win
285,Staffing & Recruiting,GB,P,B,18-30,Male,Win
287,Public Safety,US,P,C,31-40,Female,Win
288,Wholesale,US,P,C,18-30,Male,Win
289,Accounting,US,P,F,18-30,Female,Win
290,Internet,CH,C,A,18-30,Male,Win
291,Information Technology & Services,US,P,B,51-60,Male,Win
292,Accounting,US,P,A,51-60,Male,Win
293,Retail,US,P,C,18-30,Male,Win
294,Banking,US,C,F,31-40,Female,Loss
295,Information Technology & Services,US,P,C,18-30,Female,Win
297,Hospital & Health Care,US,P,C,18-30,Female,Win
298,Venture Capital,PT,P,B,31-40,Male,Win
299,Computer Software,US,P,C,41-50,Male,Win
300,Staffing & Recruiting,GB,P,B,18-30,Male,Win
301,"Health, Wellness & Fitness",US,P,C,51-60,Male,Win
302,Professional Training,US,P,B,41-50,Male,Win
303,Gambling & Casinos,GB,P,F,18-30,Female,Win
305,Information Technology & Services,GB,C,D,18-30,Female,Win
306,Information Technology & Services,FR,C,F,41-50,Male,Win
307,Computer Games,US,P,D,18-30,Female,Win
308,Photography,GB,P,B,41-50,Male,Win
310,Information Technology & Services,ZA,D,C,31-40,Male,Loss
311,Executive Office,US,C,H,41-50,Male,Loss
312,Computer Software,US,C,F,18-30,Female,Win
313,Computer Software,DK,P,C,31-40,Male,Win
315,Information Technology & Services,ZA,D,C,31-40,Female,Loss
317,Market Research,US,P,A,31-40,Male,Win
318,Online Publishing,US,P,C,51-60,Male,Win
319,Retail,US,C,H,31-40,Male,Win
320,Information Technology & Services,GB,C,A,18-30,Male,Win
321,Marketing & Advertising,US,P,B,31-40,Female,Win
322,Internet,LU,P,D,18-30,Male,Loss
323,Internet,US,C,H,31-40,Male,Win
324,Financial Services,JP,C,H,18-30,Male,Loss
327,Telecommunications,US,C,H,41-50,Male,Win
328,Internet,DE,P,B,18-30,Female,Win
329,Investment Banking/Venture,US,P,A,41-50,Male,Win
330,Computer Software,BE,P,B,51-60,Male,Win
331,Nanotechnology,US,P,C,31-40,Male,Win
332,Computer Software,US,P,D,41-50,Female,Win
334,Information Technology & Services,US,C,H,18-30,Male,Win
335,Paper & Forest Products,AT,P,C,31-40,Male,Loss
336,Computer Networking,US,C,H,31-40,Male,Loss
337,Financial Services,PE,P,B,41-50,Male,Win
340,Information Technology & Services,FI,P,D,31-40,Male,Loss
341,Internet,US,P,A,41-50,Male,Win
342,Human Resources,US,P,C,41-50,Male,Win
343,Information Technology & Services,DE,P,C,31-40,Male,Win
344,Education Management,US,P,B,18-30,Female,Win
345,Financial Services,US,C,H,31-40,Male,Win
346,Marketing & Advertising,US,P,C,41-50,Male,Win
347,Education Management,RO,P,C,31-40,Female,Loss
348,Chemicals,US,C,H,51-60,Male,Loss
349,Education Management,GB,C,H,18-30,Female,Win
350,Outsourcing/Offshoring,GB,P,E,18-30,Male,Loss
351,Information Technology & Services,US,P,E,51-60,Male,Win
352,Oil & Energy,US,S,C,31-40,Male,Win
354,Environmental Services,US,P,A,31-40,Male,Win
360,Professional Training,GB,N,C,18-30,Male,Loss
361,Staffing & Recruiting,US,P,C,31-40,Male,Win
362,Entertainment,CA,P,A,18-30,Male,Win
364,Computer Hardware,GB,P,B,41-50,Male,Win
366,Financial Services,US,P,D,31-40,Female,Win
367,Internet,DE,P,C,18-30,Male,Win
368,Hospitality,US,N,B,31-40,Male,Win
370,Marketing & Advertising,US,P,F,51-60,Male,Win
371,Design,GB,P,C,31-40,Male,Win
373,Computer Software,US,P,B,31-40,Male,Win
377,Information Services,AU,P,B,31-40,Male,Loss
378,Biotechnology,IE,C,C,31-40,Male,Loss
379,Import & Export,FI,C,D,18-30,Female,Loss
382,Human Resources,US,P,F,31-40,Male,Loss
383,Facilities Services,IN,C,E,41-50,Male,Loss
386,Internet,US,C,E,18-30,Male,Win
388,Online Publishing,US,C,F,31-40,Male,Loss
389,Online Publishing,AU,C,G,18-30,Male,Loss
393,Marketing & Advertising,GB,P,B,41-50,Male,Win
395,Broadcast Media,US,P,F,18-30,Male,Loss
397,Computer Software,US,E,A,31-40,Male,Win
404,Biotechnology,US,C,C,18-30,Female,Win
405,Computer Software,US,P,B,31-40,Male,Win
406,Outsourcing/Offshoring,US,P,G,31-40,Male,Loss
407,Electrical & Electronic Manufacturing,US,P,C,41-50,Male,Win
408,Venture Capital,CH,P,B,31-40,Male,Win
410,Hospitality,FR,C,H,31-40,Male,Loss
411,Translation & Localization,US,P,F,18-30,Male,Loss
412,Computer Software,US,P,A,31-40,Male,Win
414,Internet,US,P,G,41-50,Male,Win
415,Information Technology & Services,US,C,F,18-30,Male,Win
417,Real Estate,US,C,F,41-50,Male,Win
418,Staffing & Recruiting,GB,C,B,18-30,Male,Win
420,Information Technology & Services,US,P,E,18-30,Female,Win
422,Electrical & Electronic Manufacturing,DE,C,H,18-30,Male,Win
423,Marketing & Advertising,US,C,C,41-50,Male,Win
425,Public Relations,US,P,D,41-50,Male,Loss
427,Professional Training,US,P,D,51-60,Male,Loss
428,Entertainment,FR,P,D,41-50,Male,Loss
429,Financial Services,CA,P,C,18-30,Male,Win
430,Investment Management,US,C,D,41-50,Male,Loss
431,Higher Education,US,D,F,18-30,Male,Loss
433,Human Resources,DE,P,G,18-30,Male,Loss
434,Computer Software,US,P,D,41-50,Male,Win
435,Financial Services,DE,C,C,41-50,Male,Win
436,Mechanical or Industrial Engineering,IN,C,H,31-40,Male,Loss
437,Information Technology & Services,DE,P,B,51-60,Male,Win
438,"Health, Wellness & Fitness",DE,P,C,18-30,Male,Win
440,Banking,US,P,E,18-30,Male,Loss
441,Information Technology & Services,US,P,F,31-40,Male,Win
442,Information Technology & Services,CH,P,F,18-30,Male,Win
443,Information Technology & Services,GB,P,C,18-30,Male,Win
445,Marketing & Advertising,US,P,A,31-40,Male,Win
446,Computer Software,US,C,F,31-40,Male,Win
447,Computer Software,DE,P,C,18-30,Male,Win
448,Staffing & Recruiting,GB,P,B,31-40,Male,Win
449,Computer Software,MD,P,B,18-30,Female,Win
450,Civil Engineering,US,P,C,51-60,Male,Win
451,Computer Software,US,P,C,41-50,Female,Win
452,Marketing & Advertising,US,P,A,31-40,Female,Win
455,Marketing & Advertising,DE,C,E,31-40,Male,Win
456,Insurance,US,P,H,18-30,Male,Win
459,Staffing & Recruiting,GB,P,C,18-30,Female,Win
460,Aviation & Aerospace,RO,N,C,31-40,Female,Loss
462,Computer Software,US,P,C,18-30,Female,Win
463,Design,US,P,D,41-50,Male,Loss
464,Internet,US,P,E,31-40,Male,Win
466,Marketing & Advertising,FR,C,C,18-30,Female,Win
468,Oil & Energy,OM,C,F,18-30,Male,Loss
469,Computer Hardware,DE,P,A,41-50,Male,Win
471,Computer Networking,GB,P,C,18-30,Male,Win
472,Staffing & Recruiting,NL,P,C,18-30,Female,Win
475,Individual & Family Services,IT,P,B,31-40,Male,Loss
478,Newspapers,US,P,D,51-60,Male,Loss
480,Staffing & Recruiting,IE,O,A,41-50,Male,Loss
481,Law Practice,US,P,A,41-50,Female,Win
483,Real Estate,GB,P,C,18-30,Female,Win
484,Nonprofit Organization Management,PL,N,C,18-30,Female,Loss
485,Staffing & Recruiting,GB,C,F,18-30,Female,Win
486,Computer Software,US,P,C,31-40,Male,Win
488,Banking,AE,C,G,31-40,Male,Loss
489,Staffing & Recruiting,FR,S,A,18-30,Male,Win
490,Internet,IN,P,E,51-60,Male,Loss
491,Information Technology & Services,GB,C,A,41-50,Male,Win
492,Nonprofit Organization Management,BE,P,D,31-40,Male,Loss
493,Legal Services,AU,C,B,18-30,Female,Loss
494,Computer Software,US,P,C,31-40,Male,Win
495,Education Management,US,D,G,41-50,Male,Loss
496,Civil Engineering,US,P,D,41-50,Male,Loss
497,Higher Education,US,P,C,51-60,Male,Win
498,Broadcast Media,CA,P,D,18-30,Female,Loss
503,Financial Services,US,S,B,31-40,Male,Win
504,Staffing & Recruiting,GB,P,C,18-30,Male,Win
505,Restaurants,US,C,H,18-30,Female,Loss
507,Information Technology & Services,DE,P,C,18-30,Male,Win
508,Marketing & Advertising,GB,P,B,18-30,Male,Win
510,Construction,US,P,H,31-40,Male,Win
511,Mechanical or Industrial Engineering,US,P,B,18-30,Female,Win
512,Building Materials,US,P,E,31-40,Male,Loss
513,Telecommunications,NG,P,F,18-30,Male,Loss
514,Computer Games,US,P,D,31-40,Male,Win
515,Government Administration,US,G,F,31-40,Male,Loss
516,Electrical & Electronic Manufacturing,US,P,C,41-50,Male,Win
517,Pharmaceuticals,JO,P,F,18-30,Female,Loss
518,Information Technology & Services,US,P,C,41-50,Male,Win
520,Marketing & Advertising,US,C,E,31-40,Male,Win
521,Automotive,SE,C,H,41-50,Female,Loss
522,Pharmaceuticals,US,P,D,31-40,Male,Loss
523,Publishing,AU,N,B,18-30,Male,Loss
524,Oil & Energy,CA,C,G,18-30,Male,Loss
528,Staffing & Recruiting,GB,C,B,18-30,Female,Win
529,Information Technology & Services,US,P,B,18-30,Male,Win
530,Internet,US,C,H,31-40,Male,Win
531,Consumer Goods,AM,C,H,18-30,Male,Loss
532,Defense & Space,US,P,B,41-50,Male,Win
533,Automotive,MX,C,H,41-50,Male,Loss
534,Staffing & Recruiting,US,P,E,31-40,Female,Win
535,Investment Management,CH,P,A,41-50,Male,Win
536,Sports,GB,C,B,31-40,Male,Win
539,Information Technology & Services,DE,C,F,41-50,Male,Win
540,Venture Capital,GB,C,B,18-30,Male,Win
542,Financial Services,GB,P,E,31-40,Male,Win
543,Computer Software,CA,P,E,31-40,Male,Win
545,Construction,US,P,D,18-30,Male,Loss
547,Transportation/Trucking/Railroad,GB,N,H,18-30,Male,Loss
548,E-learning,US,N,B,31-40,Male,Win
549,Information Technology & Services,AU,P,A,18-30,Female,Win
550,Financial Services,RU,C,F,18-30,Male,Loss
551,Information Technology & Services,US,P,C,31-40,Male,Win
552,Telecommunications,US,C,F,18-30,Male,Win
554,Staffing & Recruiting,US,P,D,18-30,Male,Win
555,Management Consulting,US,P,C,31-40,Female,Win
556,Higher Education,CA,D,F,31-40,Female,Loss
557,Telecommunications,CA,C,F,41-50,Male,Loss
558,E-learning,IE,P,C,18-30,Female,Loss
560,Online Publishing,US,P,B,51-60,Male,Win
562,Museums & Institutions,US,N,E,51-60,Male,Loss
563,Information Technology & Services,US,P,C,31-40,Male,Win
565,Computer Software,US,C,G,31-40,Male,Win
566,Information Technology & Services,US,P,D,18-30,Male,Win
567,Management Consulting,GB,P,C,41-50,Female,Win
568,Logistics & Supply Chain,NL,C,H,41-50,Male,Loss
569,Biotechnology,US,P,B,31-40,Male,Win
571,Consumer Goods,BE,C,F,31-40,Male,Loss
572,Information Technology & Services,US,P,D,18-30,Male,Win
573,Accounting,BR,S,E,51-60,Male,Loss
574,Staffing & Recruiting,HK,P,C,18-30,Female,Loss
576,Computer Software,US,S,A,31-40,Male,Win
577,Higher Education,US,D,D,18-30,Male,Loss
578,Pharmaceuticals,US,P,C,31-40,Male,Win
579,Information Technology & Services,US,P,B,41-50,Male,Win
580,Entertainment,FR,P,D,18-30,Male,Loss
582,Internet,ID,P,C,18-30,Female,Win
583,Information Technology & Services,CA,P,A,51-60,Male,Win
584,Telecommunications,GB,C,H,31-40,Male,Win
585,Staffing & Recruiting,US,C,F,18-30,Female,Win
586,Computer Software,US,C,E,31-40,Male,Win
587,Retail,FR,P,H,31-40,Male,Win
588,Telecommunications,IN,C,H,18-30,Female,Win
589,Telecommunications,US,N,B,31-40,Male,Win
590,Information Technology & Services,ET,P,D,31-40,Male,Loss
591,Staffing & Recruiting,GB,P,B,41-50,Male,Win
592,Law Practice,US,S,E,51-60,Male,Loss
593,Renewables & Environment,ES,P,C,31-40,Male,Win
594,Information Technology & Services,US,C,H,18-30,Female,Win
595,Management Consulting,US,C,F,51-60,Male,Win
596,Information Technology & Services,US,O,A,41-50,Male,Win
598,Maritime,US,P,D,31-40,Male,Loss
599,Entertainment,US,C,E,51-60,Male,Loss
600,Information Services,US,P,D,41-50,Male,Loss
604,Real Estate,US,C,F,18-30,Female,Win
605,Industrial Automation,US,P,D,41-50,Male,Loss
606,Accounting,GB,P,H,41-50,Male,Win
607,Management Consulting,US,P,E,18-30,Male,Win
609,Computer Software,US,P,F,18-30,Female,Win
610,Staffing & Recruiting,US,P,C,31-40,Male,Win
611,Telecommunications,DE,P,F,31-40,Male,Win
612,Maritime,GB,P,B,31-40,Female,Win
613,Financial Services,US,P,B,41-50,Male,Win
614,Professional Training,US,P,D,31-40,Male,Loss
616,Nonprofit Organization Management,US,N,E,31-40,Female,Loss
617,Food & Beverages,US,P,E,31-40,Male,Loss
618,Internet,US,P,D,18-30,Female,Win
619,Pharmaceuticals,NL,G,D,41-50,Male,Loss
620,Computer Software,US,P,C,31-40,Male,Win
624,Management Consulting,CA,P,B,41-50,Female,Win
625,Medical Device,US,C,H,31-40,Male,Loss
627,Information Technology & Services,US,P,D,31-40,Female,Win
629,Insurance,CA,P,C,41-50,Male,Win
630,Restaurants,US,P,F,31-40,Male,Loss
632,Internet,US,P,E,31-40,Male,Win
633,Computer Software,AU,P,C,31-40,Male,Win
634,Real Estate,US,P,C,41-50,Male,Win
635,Internet,US,C,G,41-50,Male,Win
638,Broadcast Media,US,P,F,51-60,Male,Loss
639,Chemicals,CA,C,D,51-60,Male,Loss
640,Marketing & Advertising,GB,C,C,18-30,Male,Win
641,Entertainment,US,P,A,51-60,Male,Win
642,Luxury Goods & Jewelry,DE,O,F,18-30,Female,Loss
643,Financial Services,MX,P,D,18-30,Male,Loss
644,Broadcast Media,US,P,H,18-30,Male,Win
645,Hospitality,GB,P,F,18-30,Female,Win
646,Computer Software,US,C,G,41-50,Male,Win
647,Education Management,IN,D,D,41-50,Female,Loss
648,Internet,US,P,D,18-30,Male,Win
649,Law Practice,US,S,A,51-60,Male,Win
650,Logistics & Supply Chain,DE,P,B,18-30,Male,Win
651,Banking,GB,P,D,31-40,Male,Loss
653,Information Technology & Services,IN,P,C,31-40,Female,Win
655,Pharmaceuticals,CH,C,H,31-40,Male,Loss
656,Computer Software,US,C,E,31-40,Male,Win
657,Biotechnology,US,P,B,41-50,Male,Win
658,Computer Software,US,P,B,18-30,Male,Win
660,Insurance,US,P,F,31-40,Male,Win
661,Information Technology & Services,US,P,B,18-30,Male,Win
662,Information Technology & Services,US,P,E,41-50,Male,Win
663,Computer Software,US,P,D,41-50,Male,Win
664,Information Technology & Services,MX,P,H,41-50,Male,Win
667,Information Technology & Services,US,P,D,18-30,Male,Win
668,Staffing & Recruiting,GB,P,F,18-30,Female,Win
669,Aviation & Aerospace,US,P,C,31-40,Male,Win
671,Architecture & Planning,US,C,F,31-40,Female,Loss
672,Information Technology & Services,US,C,H,51-60,Male,Win
673,Retail,CA,C,G,18-30,Male,Loss
674,Computer Software,US,P,C,18-30,Male,Win
675,Financial Services,GB,P,D,41-50,Male,Win
677,Computer Software,US,C,F,18-30,Male,Win
678,"Health, Wellness & Fitness",US,N,E,18-30,Female,Loss
680,Oil & Energy,US,C,H,31-40,Male,Win
681,Financial Services,FI,N,A,41-50,Male,Loss
682,Computer Software,GB,P,C,18-30,Male,Win
683,Staffing & Recruiting,CA,C,E,18-30,Female,Loss
684,Computer Software,US,P,C,18-30,Female,Win
688,Higher Education,US,D,A,31-40,Female,Win
689,Medical Device,FR,C,H,18-30,Male,Loss
690,Medical Device,US,C,G,18-30,Male,Loss
691,Information Technology & Services,FR,P,F,31-40,Male,Win
692,Information Technology & Services,US,P,C,18-30,Female,Win
693,Information Technology & Services,US,D,A,31-40,Female,Win
695,Research,CA,P,F,18-30,Male,Loss
696,Staffing & Recruiting,US,P,B,31-40,Male,Win
698,Electrical & Electronic Manufacturing,US,C,H,31-40,Male,Win
699,Maritime,US,C,D,18-30,Female,Loss
700,Financial Services,ZA,P,C,31-40,Male,Win
701,Medical Device,US,C,G,18-30,Male,Loss
702,Staffing & Recruiting,SG,C,C,18-30,Male,Loss
703,Telecommunications,AU,C,H,31-40,Male,Loss
707,Banking,CH,C,E,41-50,Male,Loss
709,Internet,US,P,D,18-30,Female,Win
710,Telecommunications,RU,C,F,31-40,Male,Loss
712,Apparel & Fashion,US,C,H,18-30,Female,Win
714,Accounting,CA,S,G,41-50,Male,Loss
715,Accounting,US,S,H,51-60,Male,Win
718,Pharmaceuticals,US,C,H,41-50,Female,Loss
723,Marketing & Advertising,US,P,B,31-40,Female,Win
724,Real Estate,US,P,A,51-60,Male,Win
725,Food & Beverages,US,P,F,18-30,Female,Win
727,Translation & Localization,GB,C,C,18-30,Female,Loss
728,Hospital & Health Care,US,N,C,31-40,Female,Win
729,Internet,US,P,D,18-30,Female,Win
730,Medical Device,US,P,C,41-50,Male,Win
732,Hospital & Health Care,US,C,H,18-30,Female,Win
733,Computer Software,GB,C,H,31-40,Male,Win
737,Venture Capital,GB,C,B,18-30,Female,Win
738,Outsourcing/Offshoring,RU,P,B,41-50,Male,Loss
739,Publishing,US,P,D,18-30,Female,Loss
740,International Trade & Development,NL,G,C,31-40,Female,Loss
741,Management Consulting,DE,O,A,51-60,Male,Loss
742,Venture Capital,GB,P,D,18-30,Female,Win
743,Telecommunications,NL,C,H,31-40,Male,Win
744,Biotechnology,CH,P,H,41-50,Male,Loss
746,Staffing & Recruiting,US,C,H,18-30,Female,Win
749,Computer Software,BG,C,B,18-30,Male,Win
752,Staffing & Recruiting,US,P,E,41-50,Male,Win
754,Entertainment,IN,P,F,18-30,Female,Loss
760,Construction,US,P,G,18-30,Male,Loss
761,Computer Software,US,P,C,31-40,Male,Win
762,Marketing & Advertising,US,P,B,18-30,Female,Win
765,Internet,US,P,D,18-30,Male,Win
767,Venture Capital,DE,N,A,31-40,Female,Win
768,Design,US,P,B,31-40,Male,Win
769,Computer Software,US,P,D,41-50,Male,Win
771,Logistics & Supply Chain,ES,C,H,31-40,Male,Loss
772,Computer Software,GB,C,B,31-40,Male,Win
773,Transportation/Trucking/Railroad,US,P,H,18-30,Male,Loss
774,Government Administration,US,G,F,41-50,Male,Loss
777,Financial Services,DE,P,B,31-40,Male,Win
779,Oil & Energy,CH,C,F,18-30,Female,Win
781,Consumer Goods,US,C,E,31-40,Male,Loss
782,Financial Services,DE,P,A,41-50,Male,Win
783,Internet,DE,C,F,18-30,Male,Win
784,Writing & Editing,US,E,A,41-50,Female,Loss
785,Electrical & Electronic Manufacturing,US,C,H,18-30,Female,Win
787,Venture Capital,DE,P,A,18-30,Female,Win
